"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"	"Species_Name"	"N_Reads"	"Genome_Size"
180	120	244	244	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
181	121	240	240	"All/repeat/mobile_element/Class_I"	"Other"	"All/repeat/mobile_element/Class_I"	"Solanum_linnaeanum"	951120	2.69
182	122	237	237	"All/repeat/rDNA/5S_rDNA"	"Other"	"All/repeat/rDNA/5S_rDNA"	"Solanum_linnaeanum"	951120	2.69
183	123	233	233	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_linnaeanum"	951120	2.69
184	124	231	231	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
185	125	231	231	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
186	126	223	223	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_linnaeanum"	951120	2.69
187	127	222	222	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_linnaeanum"	951120	2.69
188	128	215	215	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
189	129	215	215	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
190	130	214	214	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
191	131	214	214	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
192	132	210	210	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_linnaeanum"	951120	2.69
193	133	207	207	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_linnaeanum"	951120	2.69
194	134	199	199	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
195	135	198	198	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
196	136	198	198	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
197	137	197	197	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
198	138	179	179	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
199	139	177	177	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
