"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
12	15	9442	9442	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
42	16	5200	5200	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
51	16	4078	4078	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
13	17	9263	9263	"All"	"Other"	"All"
27	18	6331	6331	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
84	18	2346	2346	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
17	19	8277	8277	"All"	"Other"	"All"
20	20	7816	7816	"All/repeat/satellite"	"Putative satellites (low confidence)"	"All/repeat/satellite"
26	21	6977	6977	"All"	"Other"	"All"
31	22	5941	5941	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
100	23	1832	1832	"All/repeat/rDNA/45S_rDNA"	"Other"	"All/repeat/rDNA/45S_rDNA"
110	23	1469	1469	"All/repeat/rDNA/45S_rDNA"	"Other"	"All/repeat/rDNA/45S_rDNA"
77	23	2560	2560	"All/repeat/rDNA/45S_rDNA"	"Other"	"All/repeat/rDNA/45S_rDNA"
107	24	1630	1630	"All/organelle/plastid"	"Other"	"All/organelle/plastid"
135	24	1026	1026	"All/organelle/plastid"	"Other"	"All/organelle/plastid"
96	24	1896	1896	"All/organelle/plastid"	"Other"	"All/organelle/plastid"
47	25	4219	4219	"All"	"Other"	"All"
48	26	4172	4172	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
89	27	2065	2065	"All/organelle/plastid"	"Other"	"All/organelle/plastid"
91	27	2036	2036	"All/organelle/plastid"	"Other"	"All/organelle/plastid"
57	28	3864	3864	"All/repeat/mobile_element/Class_I"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I"
106	29	1640	1640	"All/organelle/plastid"	"Other"	"All/organelle/plastid"
98	29	1888	1888	"All/organelle/plastid"	"Other"	"All/organelle/plastid"
63	30	3236	3236	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"
64	31	3235	3235	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Putative satellites (low confidence)"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"
69	32	2911	2911	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR"
71	33	2846	2846	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
73	34	2731	2731	"All"	"Other"	"All"
75	35	2678	2678	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
76	36	2574	2574	"All"	"Other"	"All"
79	37	2516	2516	"All"	"Other"	"All"
85	38	2326	2326	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"
86	39	2302	2302	"All/organelle/plastid"	"Other"	"All/organelle/plastid"
87	40	2237	2237	"All/repeat/mobile_element/Class_I"	"Other"	"All/repeat/mobile_element/Class_I"
92	41	2035	2035	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"
93	42	2025	2025	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
